current_train_id,original_loc_timestamp,train_file_address,train_service_code,toc_id,dep_timestamp,division_code,loc_stanox,train_id,original_loc_stanox,reinstatement_timestamp
,,IQ4,54606571,00,1522571580000,00,42159,42607J1D01,,1522554900000
,,,24787000,88,1522580820000,88,87625,872H16MI01,,1522579920000
,,,21702001,61,1522587900000,61,17132,171A31MM01,,1522582680000
,,,24620204,84,1522585350000,84,86087,871B27MH01,,1522585380000
,,,24676004,84,1522589700000,84,86935,865B27MN01,,1522586580000
,,,24787000,88,1522595760000,88,87637,872J60MQ01,,1522596540000
,,IVU,52406641,00,1522591560000,00,34111,34699JCO01,,1522597560000
,,IQN,22190008,00,1522600740000,00,01071,01569Z1L01,,1522597680000
,,IWW,55303021,00,1522601280000,00,16502,16490WCT01,,1522598040000
,,,24605004,80,1522602480000,80,89428,892W591U01,,1522602120000
,,,22350000,23,1522599780000,23,29030,292S131S01,,1522603500000
,,IY6,51426930,00,1522609560000,00,22038,22627KCY01,,1522605060000
,,J0N,51300230,00,1522658160000,00,79780,34402XC002,,1522643340000
,,,25445000,71,1522649700000,71,78381,782B00M602,,1522650000000
,,,12362822,23,1522651710000,23,33087,321N531602,,1522652040000
,,,21724000,88,1522653540000,88,54299,542B081A02,,1522652760000
,,J9Q,51461780,54,1522643340000,54,26216,264R75C402,,1522652940000
,,JIZ,56460581,54,1522654620000,54,23451,230Z752B02,,1522653420000
,,,13560015,60,1522649100000,60,04010,042M17M602,,1522653600000
,,,23576003,60,1522653930000,60,03401,042P51M602,,1522653960000
,,,22720001,88,1522653240000,88,63201,622J171A02,,1522655220000
,,,22721000,88,1522664940000,88,87920,872W281G02,,1522658100000
,,JLN,51464980,54,1522681080000,54,23451,234R241P02,,1522659540000
,,,11830920,23,1522658820000,23,16416,162C15MD02,,1522660380000
,,JK2,56461883,54,1522660380000,54,13006,136N86CE02,,1522662840000
,,JK2,56461883,54,1522660380000,54,13006,136N86CE02,,1522663860000
,,JRL,54761000,54,1522663140000,54,45112,450L60CF02,,1522663860000
,,JRW,51463180,54,1522675680000,54,23451,234R822M02,,1522664160000
,,JRW,51463180,54,1522675680000,54,23451,234R822M02,,1522664220000
,,,22334000,71,1522664940000,71,64224,641J09MG02,,1522665120000
,,,21920000,21,1522665300000,21,52741,522O221H02,,1522665660000
,,,21920000,21,1522669140000,21,51702,512O251J02,,1522665660000
,,JRT,55460181,54,1522679700000,54,66219,664L22CP02,,1522673940000
,,JR4,56661501,00,1522678260000,00,70215,88503A2K02,,1522680180000
,,,13560015,60,1522679160000,60,06109,062H42MO02,,1522681680000
,,,11825820,23,1522683840000,23,25701,222P73MO02,,1522685640000
,,,22788002,88,1522688280000,88,87201,875B881T02,,1522690680000
,,,21801000,23,1522690200000,23,15671,152D47MV02,,1522690860000
,,,13569815,60,1522700640000,60,07011,072G86MZ02,,1522700700000
,,,25486001,25,1522699260000,25,68076,682B97MZ02,,1522701720000
,,,11820820,23,1522699080000,23,17011,172S54MY02,,1522702980000
,,,11803920,23,1522708860000,23,25701,252B66M802,,1522704540000
,,,11803920,23,1522703880000,23,18474,182B59M702,,1522704540000
,,K76,55660305,34,1522710720000,34,72027,726Z502902,,1522706400000
,,,11870820,23,1522709340000,23,17132,175V63M802,,1522706880000
,,,22334000,71,1522707090000,71,65043,641G75MY02,,1522709880000
,,KTZ,95998090,00,1522733100000,00,23430,23623SC503,,1522734360000
,,,13560015,60,1522734300000,60,06350,062H98M503,,1522735080000
,,,21381008,33,1522740780000,33,50336,505C21MB03,,1522736040000
49078W1603,,KVS,50510170,00,1522735740000,00,49200,49482Z1603,,1522737300000
,,,23563015,60,1522736640000,60,07466,072S05M603,,1522738440000
,,,12355820,23,1522739820000,23,30120,302H041A03,,1522739160000
,,,24787000,88,1522740960000,88,87601,872J77MB03,,1522740360000
,,,24784000,88,1522740060000,88,87201,872P33MA03,,1522740420000
,,KYB,52155420,00,1522740000000,00,15665,15667SCA03,,1522745640000
,,,11874020,23,1522749360000,23,17132,172J15MF03,,1522747500000
