reason_code,current_train_id,original_loc_timestamp,train_file_address,train_service_code,toc_id,dep_timestamp,coo_timestamp,division_code,loc_stanox,train_id,original_loc_stanox
TI,,,,21801000,23,1522574940000,1522559100000,23,15866,152D05MD01,
M0,,,,22218000,30,1522538340000,1522560000000,30,87572,889F70M931,
TH,,,,25397003,25,1522581240000,1522565820000,25,83421,851A80MC01,
,,,,21801000,23,1522572600000,1522567500000,23,15449,152D05MD01,
XB,,,,21939001,21,1522569450000,1522569000000,21,50206,502F031B01,
MD,,,,25471001,25,1522573950000,1522571580000,25,82101,812O71MC01,
I5,,,,22350000,23,1522577130000,1522572300000,23,29150,292S191E01,
TG,,,,23540003,60,1522573590000,1522572780000,60,03140,031T74MD01,
TG,,,,21726000,88,1522571400000,1522572780000,88,53104,532C35MB01,
I5,,,,12249820,23,1522578630000,1522573140000,23,35136,362N72MF01,
TG,,,,25375002,25,1522584900000,1522574220000,25,74237,731B28MJ01,
,,,,22350000,23,1522574580000,1522574640000,23,29030,292S191E01,
TH,,,,25375002,25,1522587630000,1522574700000,25,77301,731B25MH01,
MD,,,,24671105,84,1522580100000,1522574700000,84,87131,872U26NG01,
XA,,,,22206000,30,1522578720000,1522575780000,30,87572,879M20MG01,
XA,,,,22206000,30,1522579620000,1522576200000,30,87572,879M21MG01,
M8,,,,22332000,29,1522578360000,1522576440000,29,67195,672S06MG01,
XC,,,,23563015,60,1522584240000,1522577040000,60,06347,072L35MI01,
,,,,22332000,29,1522577280000,1522577700000,29,67214,672S06MG01,
M8,,1522578360000,,22332000,29,1522578360000,1522577760000,29,67116,672S06MG01,67195
MD,,,,12304212,64,1522577880000,1522577880000,64,36076,362O16MG01,
,,,,25375002,25,1522582440000,1522578000000,25,73000,731B28MJ01,
J3,,,,24744000,88,1522584660000,1522578000000,88,86341,861N50MJ01,
TH,,,,25370002,25,1522584420000,1522578120000,25,74237,731C13MK01,
OU,,,,12355820,23,1522576560000,1522578180000,23,30120,305S781F01,
YI,,,,12257320,29,1522583280000,1522578780000,29,66411,662J52MI01,
YI,,,,24744000,88,1522583730000,1522579200000,88,87995,872N21MJ01,
MD,,,,24745000,88,1522583640000,1522580160000,88,87701,872C67MJ01,
M0,,,,22206000,30,1522588260000,1522583940000,30,87572,879M31ML01,
YI,,,,22114001,65,1522586310000,1522584060000,65,65043,651S60MK01,
TH,,,,24676004,84,1522586130000,1522585500000,84,86520,865B272K01,
I2,,,,23563015,60,1522590120000,1522586640000,60,06359,072F59ML01,
TG,,,,25471001,25,1522584120000,1522587060000,25,82101,822C92MJ01,
TH,,,,22350000,23,1522589760000,1522587300000,23,29041,292S171M01,
TH,,,,25397003,25,1522594680000,1522587660000,25,84139,851A90ML01,
I2,,,,23563015,60,1522589250000,1522587660000,60,06359,062C62MM01,
I2,,,,23563015,60,1522590330000,1522587660000,60,06354,062R66MM01,
I2,,,,23563015,60,1522589940000,1522589400000,60,06350,062R66MM01,
TG,,,,25375002,25,1522612530000,1522589520000,25,79304,801L96MY01,
I2,,,,23563015,60,1522590510000,1522590000000,60,06136,062L32MN01,
I2,,,,13560015,60,1522592430000,1522590480000,60,06211,062H76MN01,
YI,,,,24657005,80,1522595670000,1522591200000,80,88451,882D46MP01,
TA,,,,24632204,84,1522593000000,1522591500000,84,87026,872A48MO01,
