current_train_id,train_file_address,train_service_code,revised_train_id,train_id,event_timestamp
,,24788005,87575Z2G01,87574Z2G01,1522577640000
,IUC,56120628,53492WCS01,53680JCS01,1522590128000
,IX0,57610312,70080S1X01,70610K1X01,1522593481000
,IZZ,51464780,230H80CW01,236H80CW01,1522602559000
,IYS,51610410,22421XCZ01,22638KCZ01,1522619804000
,J8D,56230736,56666LC202,56426XC202,1522629174000
,IY7,51425230,79094TCY01,79628KCY01,1522653428000
,J9Q,51461780,260R75C402,264R75C402,1522653540000
,,22788002,87594Z1A02,87593Z1A02,1522653720000
,JKG,53790120,82098TCG02,82613NCG02,1522653902000
,JJ5,53790121,22000UCD02,22696MCD02,1522654039000
,JKR,51464980,216R752F02,214R752F02,1522657620000
,JHS,54761000,230M73CH02,236M73CH02,1522670400000
,JV4,50520220,34072UCN02,34626OCN02,1522672314000
,JWV,53790120,86662OCP02,86790VCP02,1522675267000
,JZ5,51425230,09092UCS02,09673OCS02,1522677263000
,JWP,95998090,09093UCP02,09646OCP02,1522677300000
,JZW,52495100,82098UCV02,82683OCV02,1522678474000
,JUT,54761000,560K50CQ02,566K50CQ02,1522679497000
,JZK,51426930,77016VCS02,77680OCS02,1522682339000
,K3T,59430444,76026VCS02,76613PCS02,1522684483000
09092UCS02,JZ5,51425230,09673OCS02,09673OCS02,1522686901000
,K5H,51463180,266R72CV02,264R72CV02,1522688640000
,K81,54761000,880L36CY02,886L36CY02,1522691640000
,JV0,54761000,560L15CV02,566L15CV02,1522693200000
,KAJ,52495100,65061VCY02,65606QCY02,1522694276000
,K90,53790121,88066VCZ02,88706WCZ02,1522696860000
,KB0,51425330,76070VC702,76612QC702,1522697443000
,KD2,56120633,63492YC203,63641QC203,1522698220000
,,54761000,230L84C702,236L84C702,1522705380000
,,51462781,890Y211303,896Y211303,1522725300000
,,59120020,82694QC503,82713WC503,1522731600000
65061VCY02,KAJ,52495100,65606QCY02,65606QCY02,1522706929000
,,51464980,566E721203,564E721203,1522721700000
,,51610410,89023WCC03,89438ZCC03,1522743000000
,KQW,51461780,266R75C403,264R75C403,1522726596000
,KSK,51426930,65048W1403,65604S1403,1522727555000
,KX7,95998013,23074W1603,23651S1603,1522733850000
