original_loc_timestamp,current_train_id,train_file_address,train_service_code,dep_timestamp,loc_stanox,train_id,original_loc_stanox,event_timestamp
1522539600000,,IKD,54606571,1522539600000,88729,87630I1831,88730,1522547574000
1522568700000,,IR1,52495100,1522568700000,82098,82628J1B01,82100,1522564949000
1522565160000,,IQ6,53790125,1522565160000,56573,56609J1601,56591,1522566347000
1522573620000,,IQ9,53790125,1522573620000,23430,18611J1C01,23432,1522576495000
1522578360000,,,22332000,1522578360000,67116,672S06MG01,67195,1522577760000
1522581180000,,IR9,54606571,1522581180000,56573,61635J1F01,56591,1522582163000
1522599540000,,IRC,52495100,1522599540000,23430,45636J1O01,23432,1522584033000
1522626480000,,IUB,57610316,1522626480000,70087,89679J1O01,70081,1522585164000
1522597560000,,IV0,51463180,1522597560000,23458,134D632L01,23451,1522587006000
1522597560000,,IV0,51463180,1522597560000,23451,134D632L01,23451,1522601485000
1522626480000,,IUB,57610316,1522626480000,70081,89679J1O01,70081,1522603512000
1522626480000,,IUB,57610316,1522626480000,70087,89679J1O01,70081,1522603545000
1522602360000,,IXL,53790125,1522602360000,23432,46078S1Q01,23463,1522603783000
1522613730000,70080S1X01,IX0,57610312,1522613730000,65702,70610K1X01,65700,1522610732000
1522615980000,,IU1,51610410,1522615980000,22029,89479W2J01,22040,1522614414000
1522617900000,,J3P,53790125,1522617900000,79780,76008T2Z01,79771,1522615960000
1522657260000,,JB6,57620785,1522657260000,78326,79445XC502,78321,1522641327000
1522660410000,,J7I,57610316,1522660410000,70087,89643LC102,70081,1522647860000
1522662210000,,J9Q,51461780,1522662210000,21248,264R75C402,21219,1522653000000
1522662210000,,J9Q,51461780,1522662210000,21219,264R75C402,21219,1522653180000
1522654800000,,J7Q,53790121,1522654800000,22038,23649LC602,22029,1522654090000
1522677900000,,JCL,57610312,1522677900000,70087,89631MCA02,70081,1522654885000
1522651920000,,JGH,57610310,1522651920000,89737,72077TC402,89736,1522655673000
1522661520000,22000UCD02,JJ5,53790121,1522661520000,23432,22696MCD02,23430,1522661340000
1522675200000,,JHS,54761000,1522675200000,56590,236M73CH02,56591,1522669185000
1522677600000,,JVA,52495800,1522677600000,65700,42063U2M02,65705,1522679324000
1522686630000,,JRD,55303021,1522686630000,18011,21673NCO02,18010,1522680213000
1522701840000,09093UCP02,JWP,95998090,1522701840000,42162,09646OCP02,42159,1522684680000
1522684590000,,,22204000,1522684590000,87132,872L881R02,72241,1522684860000
