DESCRIPTION,CODE,LATITUDE,LONGITUDE
AACHEN,AACHEN,50.817428,4.3620185
ABERCWMBOI SB,ABCWM,51.69209,-3.4090761
ABERDARE,ABDARE,51.719497,-3.4475679
ABERDOUR,ABDO,56.045942,-3.3027091
ABERDOVEY,ABDVY,52.543981,-4.0555934
ABER,ABER,51.575403,-3.2308504
ABERGELE & PENSARN,ABGLELE,53.29474,-3.5828082
EDINBURGH ABBEYHILL,ABHLJN,55.952681,-3.1578078
ABBEYHILL TURNBACK SDGS,ABHLTB,49.766809,-7.5571598
ABINGTON C.E.,ABINCE,55.492745,-3.6875098
ABINGTON D.P.L.,ABINDPL,55.492747,-3.6873516
ABINGTON DOWN SIDING,ABINDS,54.575408,-4.6094386
ABINGTON,ABINGTN,55.492749,-3.6871934
ABINGTON U.P.L.,ABINUPL,55.492752,-3.6870352
ABERBEEG,ABRBEG,49.766809,-7.5571598
ABERCYNON SIGNAL A187,ABRC187,49.766809,-7.5571598
ABERCYNON JUNCTION,ABRCJN,49.766809,-7.5571598
ABERCYNON,ABRCYNS,51.646309,-3.3252714
ABERDEEN SIG A27,ABRD27,58.472511,8.3099342
ABERDEEN SIGNAL A75,ABRD75,57.143011,-2.0991294
ABERDEEN SIGNAL A77,ABRD77,57.143011,-2.0992121
EXTERNAL WASHERS ABERDEEN,ABRDCH,57.132211,-2.1117876
ABERDEEN,ABRDEEN,57.143056,-2.0991296
CE SIDING,ABRDFDS,54.004387,-1.6729038
ABERDEEN FERRYHILL GOODS LINE,ABRDFGL,57.132211,-2.1116554
FERRYHILL JN,ABRDFJN,57.131816,-2.1117864
FERRYHILL SDG,ABRDFUS,52.83984,3.6952702
ABERDEEN NORTH SIDING,ABRDNS,53.043349,0.43702092
ABERDEEN WATERLOO,ABRDWAT,57.178092,-2.0959156
ABERDEEN WATERLOO GOODS,ABRDWGB,49.766809,-7.5571598
ABERERCH,ABRE,52.898552,-4.3756606
PENPERGWN,ABRGPGN,53.684995,0.17328981
