Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A dynamic, interpretable, and robust hybrid data analytics system for train movements in large-scale railway networks",International Journal of Data Science and Analytics,,,,10.1007/s41060-018-00171-z,Luca OnetoIrene BuselliAlessandro LulliRenzo CanepaSimone PetralliDavide Anguita,2019,http://link.springer.com/article/10.1007/s41060-018-00171-z,Article
Online Delay Management on a Single Train Line,Algorithmic Methods for Railway Optimization,,,,10.1007/978-3-540-74247-0_17,Michael GattoRiko JacobLeon PeetersPeter Widmayer,2007,http://link.springer.com/chapter/10.1007/978-3-540-74247-0_17,Chapter
Arrival Time Prediction and Train Tracking Analysis,Trends in Artificial Intelligence: PRICAI 2016 Workshops,,,,10.1007/978-3-319-60675-0_15,Somkiat KosolsombatWasit Limprasert,2017,http://link.springer.com/chapter/10.1007/978-3-319-60675-0_15,Chapter
Mining Train Delays,Advances in Intelligent Data Analysis X,,,,10.1007/978-3-642-24800-9_13,Boris CuleBart GoethalsSven TassenoySabine Verboven,2011,http://link.springer.com/chapter/10.1007/978-3-642-24800-9_13,Chapter
Online Train Disposition: To Wait or Not to Wait?,Robust and Online Large-Scale Optimization,,,,10.1007/978-3-642-05465-5_17,Luzi AndereggPaolo PennaPeter Widmayer,2009,http://link.springer.com/chapter/10.1007/978-3-642-05465-5_17,Chapter
Single Line Train Scheduling with ACO,Evolutionary Computation in Combinatorial Optimization,,,,10.1007/978-3-642-37198-1_20,Marc ReimannJose Eugenio Leal,2013,http://link.springer.com/chapter/10.1007/978-3-642-37198-1_20,Chapter
An Efficient Evaluation Scheme for KPIs in Regulated Urban Train Systems,"Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification",,,,10.1007/978-3-319-68499-4_13,Bruno AdelinePierre DersinÉric FabreLoïc HélouëtKarim Kecir,2017,http://link.springer.com/chapter/10.1007/978-3-319-68499-4_13,Chapter
A theory of distributing train rescheduling,FME'96: Industrial Benefit and Advances in Formal Methods,,,,10.1007/3-540-60973-3_104,Chris George,1996,http://link.springer.com/chapter/10.1007/3-540-60973-3_104,Chapter
Fuzzy Rule-based Expert System for Real-Time Train Traffic Control,Applications and Innovations in Expert Systems VI,,,,10.1007/978-1-4471-0575-6_8,Alexander FayEckehard Schnieder,1999,http://link.springer.com/chapter/10.1007/978-1-4471-0575-6_8,Chapter
Learning to detect subway arrivals for passengers on a train,Frontiers of Computer Science,,8,2,10.1007/s11704-014-3258-8,Kuifei YuHengshu ZhuHuanhuan CaoBaoxian ZhangEnhong ChenJilei TianJinghai Rao,2014,http://link.springer.com/article/10.1007/s11704-014-3258-8,Article
