src_id,Name,Area,Area type,Station start date,Station end date,Latitude,Longitude,Postcode
971,ABBOTSINCH ,RENFREWSHIRE ,COUNTY ,01/01/1966,Current ,55.8695,-4.42948,PA3 2 
1161,ABERDARON ,GWYNEDD ,COUNTY ,01/01/1993,Current ,52.7886,-4.74026,LL53 8 
30810,ABERFELDY: DULL ,PERTHSHIRE (IN TAYSIDE REGION) ,COUNTY ,01/02/2003,01/03/2017,56.6207,-3.92385,PH15 2 
1198,ABERPORTH ,DYFED ,COUNTY ,01/01/1941,Current ,52.1391,-4.56999,SA43 1 
150,ABOYNE NO 2 ,ABERDEENSHIRE ,COUNTY ,01/01/1989,Current ,57.076,-2.83948,AB34 5 
38,ACHFARY ,SUTHERLAND ,COUNTY ,01/01/1914,Current ,58.3112,-4.91506,IV27 4 
57267,ACHILTIBUIE NO2 ,ROSS & CROMARTY ,COUNTY ,01/05/2013,Current ,58.015,-5.33526,IV26 2 
14093,ACHNAGART ,ROSS & CROMARTY ,COUNTY ,01/01/1967,Current ,57.1816,-5.37346,IV40 8 
1588,AKROTIRI: CYPRUS ,CYPRUS ,ISLAND ,01/01/1956,Current ,34.583,32.983,None 
30523,ALBEMARLE ,NORTHUMBERLAND ,COUNTY ,18/02/2002,Current ,55.0197,-1.88012,NE18 
1450,ALDERGROVE ,ANTRIM ,COUNTY ,01/01/1926,Current ,54.6636,-6.22436,BT29 4 
1574,ALDERNEY ,ALDERNEY ,ISLAND ,01/01/1957,Current ,49.7,-2.217,None 
868,ALICE HOLT LODGE ,HAMPSHIRE ,COUNTY ,01/01/1948,Current ,51.1777,-0.84866,GU10 4 
62122,ALMONDSBURY ,AVON ,COUNTY ,27/03/2018,Current ,51.5509,-2.558,BS32 4 
24793,ALSTON: SPRINGHOUSE PARK ,CUMBRIA ,COUNTY ,01/11/1998,Current ,54.8105,-2.45575,CA9 
44,ALTNAHARRA NO 2 ,SUTHERLAND ,COUNTY ,01/01/1983,Current ,58.2881,-4.44101,IV27 4 
1452,ALTNAHINCH FILTERS ,ANTRIM ,COUNTY ,01/01/1965,Current ,55.0478,-6.25433,BT44 9 
62031,AMERSHAM FIELD CENTRE ,BUCKINGHAMSHIRE ,COUNTY ,01/07/2015,Current ,51.6641,-0.65585,HP7 0 
9529,AMMERDOWN HOUSE ,SOMERSET ,COUNTY ,01/01/1946,Current ,51.2729,-2.41257,BA3 5 
19188,ANDREWSFIELD ,ESSEX ,COUNTY ,01/09/1997,Current ,51.8957,0.45225,CM6 3 
103,AONACH MOR ,INVERNESS-SHIRE ,COUNTY ,01/01/1992,Current ,56.8223,-4.96787,PH34 4 
1530,ARMAGH ,ARMAGH ,COUNTY ,1836-01-01 ,Current ,54.3523,-6.64866,BT61 7 
937,ARRAN: BRODICK CASTLE ,BUTESHIRE ,COUNTY ,01/01/1964,Current ,55.592,-5.15302,KA27 8 
1603,ASCENSION ISLAND AIRFIELD ,ASCENSION IS ,ISLAND ,01/04/1957,Current ,-7.967,-14.4,None 
660,ASTWOOD BANK ,HEREFORD & WORCESTER ,COUNTY ,01/01/1976,Current ,52.2477,-1.93352,B96 6 
1005,AUCHINCRUIVE ,AYRSHIRE ,COUNTY ,01/01/1931,Current ,55.477,-4.56384,KA6 5 
15381,AUCHTERMUCHTY: ROSSIE ,FIFE ,COUNTY ,01/01/1992,Current ,56.299,-3.20131,KY7 7 
52,AULTBEA NO 2 ,ROSS & CROMARTY ,COUNTY ,01/01/1986,Current ,57.8592,-5.63159,IV22 2 
113,AVIEMORE ,INVERNESS-SHIRE ,COUNTY ,01/01/1982,Current ,57.2065,-3.82693,PH22 1 
674,AVONMOUTH ,AVON ,COUNTY ,01/01/1952,Current ,51.5055,-2.71532,BS11 9 
339,BAINBRIDGE ,NORTH YORKSHIRE ,COUNTY ,01/01/1957,Current ,54.3081,-2.09973,DL8 3 
62039,BAINTOWN ,FIFE ,COUNTY ,01/09/2015,Current ,56.2209,-3.04112,KY8 5 
1180,BALA ,GWYNEDD ,COUNTY ,01/01/1939,Current ,52.9073,-3.58303,LL23 7 
56909,BALLYHAISE ,CAVAN ,COUNTY ,01/04/2008,Current ,54.051,-7.31,None 
1467,BALLYPATRICK FOREST ,ANTRIM ,COUNTY ,01/01/1961,Current ,55.1806,-6.15336,BT54 6 
1517,BALLYWATTICOCK ,DOWN ,COUNTY ,01/01/1961,Current ,54.5721,-5.65603,BT22 2 
148,BALMORAL ,ABERDEENSHIRE ,COUNTY ,1882-01-01 ,Current ,57.0375,-3.21897,AB35 5 
12,BALTASOUND NO 2 ,SHETLAND ,SCOTTISH REGION ,01/01/1983,Current ,60.7489,-0.85365,ZE2 9 
